"2020-02-11T23:35:02Z","members-health-fund-alliance-health-before-profit","Members Health Fund Alliance: Health before profit","3.8411466057782864"
"2020-02-11T23:23:38Z","us-news","US news","1.954299717110862"
"2020-02-11T23:21:30Z","media","Media","2.1888644000263437"
"2020-02-11T23:19:27Z","world","World news","3.5479588653070424"
"2020-02-11T23:13:27Z","us-news","US news","1.7124465406260316"
"2020-02-11T23:12:17Z","us-news","US news","2.7809616430503596"
"2020-02-11T23:02:30Z","world","World news","2.1005662488574193"
"2020-02-11T22:30:15Z","media","Media","1.7302226277522266"
"2020-02-11T22:12:58Z","football","Football","1.9714573237533566"
"2020-02-11T22:00:15Z","society","Society","3.4375298692881704"
"2020-02-11T22:00:15Z","politics","Politics","1.5561739151818599"
"2020-02-11T22:00:15Z","tv-and-radio","Television & radio","1.1931737503994477"
"2020-02-11T21:52:12Z","football","Football","0.9766815904916448"
"2020-02-11T21:32:31Z","us-news","US news","1.04756788913459"
"2020-02-11T21:31:58Z","football","Football","2.726338393271256"
"2020-02-11T21:30:44Z","commentisfree","Opinion","1.4383439307875199"
"2020-02-11T21:30:14Z","environment","Environment","0.0"
"2020-02-11T21:23:32Z","football","Football","1.9036297992415439"
"2020-02-11T21:14:30Z","world","World news","1.080287168542229"
"2020-02-11T21:08:07Z","uk-news","UK news","0.8628321533493879"
"2020-02-11T21:00:14Z","news","News","0.0"
"2020-02-11T21:00:14Z","world","World news","1.613718282800273"
"2020-02-11T20:54:55Z","world","World news","4.765925246004592"
"2020-02-11T20:27:17Z","sport","Sport","2.1906485182286723"
"2020-02-11T20:16:50Z","lifeandstyle","Life and style","2.1517327464431526"
"2020-02-11T20:08:44Z","sport","Sport","1.3984157216522355"
"2020-02-11T20:08:30Z","business","Business","1.4496396559689362"
"2020-02-11T20:02:03Z","australia-news","Australia news","2.8395100984306563"
"2020-02-11T20:00:12Z","uk-news","UK news","3.5526638171796496"
"2020-02-11T20:00:12Z","stage","Stage","0.0"
"2020-02-11T19:54:56Z","us-news","US news","1.5226220197574771"
"2020-02-11T19:43:08Z","business","Business","2.118145368748982"
"2020-02-11T19:37:15Z","sport","Sport","1.260676109564062"
"2020-02-11T19:29:35Z","uk-news","UK news","3.137863407479937"
"2020-02-11T19:26:58Z","us-news","US news","2.793188451835585"
"2020-02-11T19:25:44Z","world","World news","0.45365370270981153"
"2020-02-11T19:20:30Z","uk-news","UK news","1.8209935468280023"
"2020-02-11T19:08:15Z","uk-news","UK news","1.3473925037326286"
"2020-02-11T19:01:34Z","business","Business","0.8949355251309103"
"2020-02-11T19:00:36Z","world","World news","3.102013766999605"
"2020-02-11T19:00:11Z","technology","Technology","1.6366504759589853"
"2020-02-11T19:00:11Z","technology","Technology","2.5869953246288415"
"2020-02-11T18:55:20Z","world","World news","4.551748863489593"
"2020-02-11T18:37:18Z","world","World news","0.0"
"2020-02-11T18:31:15Z","politics","Politics","2.068939906148415"
"2020-02-11T18:30:11Z","commentisfree","Opinion","2.1323831051780027"
"2020-02-11T18:29:46Z","commentisfree","Opinion","0.9416189673327543"
"2020-02-11T18:29:13Z","law","Law","1.3240520522426698"
"2020-02-11T18:28:17Z","football","Football","1.1524894861848445"
"2020-02-11T18:28:13Z","sport","Sport","1.20942528463572"
"2020-02-11T18:27:52Z","politics","Politics","2.9427083135100203"
"2020-02-11T18:27:22Z","uk-news","UK news","1.367105580469022"
"2020-02-11T18:26:02Z","uk-news","UK news","0.0"
"2020-02-11T18:25:10Z","commentisfree","Opinion","1.0626186860202043"
"2020-02-11T18:24:36Z","business","Business","0.0"
"2020-02-11T18:20:15Z","uk-news","UK news","0.513237200497442"
"2020-02-11T18:07:49Z","sport","Sport","1.6431884793311444"
"2020-02-11T18:04:37Z","sport","Sport","1.642227735257091"
"2020-02-11T18:00:32Z","world","World news","1.4440896770895149"
"2020-02-11T17:54:39Z","world","World news","4.370906447455857"
"2020-02-11T17:47:54Z","uk-news","UK news","3.5390106387827873"
"2020-02-11T17:46:15Z","football","Football","2.2914117923959205"
"2020-02-11T17:44:39Z","culture","Culture","0.0"
"2020-02-11T17:42:26Z","media","Media","2.22864710214279"
"2020-02-11T17:42:24Z","uk-news","UK news","2.0353025223682395"
"2020-02-11T17:37:25Z","film","Film","0.5899279933434621"
"2020-02-11T17:36:05Z","us-news","US news","1.8219706763762167"
"2020-02-11T17:34:16Z","sport","Sport","0.7578982641385336"
"2020-02-11T17:34:03Z","politics","Politics","3.598101011235447"
"2020-02-11T17:32:06Z","environment","Environment","1.5808070147268503"
"2020-02-11T17:28:14Z","commentisfree","Opinion","1.3984157216522355"
"2020-02-11T17:25:01Z","uk-news","UK news","2.77434828788565"
"2020-02-11T17:20:48Z","world","World news","1.625164416016603"
"2020-02-11T17:19:44Z","uk-news","UK news","1.6431884793311444"
"2020-02-11T17:16:51Z","tv-and-radio","Television & radio","2.923754202594369"
"2020-02-11T17:12:10Z","technology","Technology","1.7218841210027667"
"2020-02-11T17:07:24Z","uk-news","UK news","2.6186186619379845"
"2020-02-11T17:06:41Z","world","World news","2.539297108608364"
"2020-02-11T16:57:57Z","business","Business","3.3012882251710933"
"2020-02-11T16:54:55Z","tv-and-radio","Television & radio","1.6265699439071668"
"2020-02-11T16:51:46Z","football","Football","0.9191502416862692"
"2020-02-11T16:39:38Z","football","Football","1.8219311707308945"
"2020-02-11T16:37:44Z","technology","Technology","3.959939239307167"
"2020-02-11T16:33:47Z","uk-news","UK news","1.6974233771191076"
"2020-02-11T16:30:09Z","lifeandstyle","Life and style","0.7783410450757775"
"2020-02-11T16:30:09Z","australia-news","Australia news","2.442938036057998"
"2020-02-11T16:30:08Z","australia-news","Australia news","2.8194032369196806"
"2020-02-11T16:30:08Z","australia-news","Australia news","2.1175444381014468"
"2020-02-11T16:30:08Z","world","World news","2.667676680719707"
"2020-02-11T16:28:09Z","culture","Culture","0.963458835671719"
"2020-02-11T16:24:54Z","music","Music","1.099947402351079"
"2020-02-11T16:15:10Z","us-news","US news","2.5733466142451307"
"2020-02-11T16:13:46Z","uk-news","UK news","0.5154004433702345"
"2020-02-11T16:10:25Z","artanddesign","Art and design","1.6837964797526468"
"2020-02-11T16:08:22Z","lifeandstyle","Life and style","1.8531617729327217"
"2020-02-11T16:06:31Z","sport","Sport","1.1731453405306764"
"2020-02-11T16:02:21Z","sport","Sport","0.5725588226284701"
"2020-02-11T16:00:08Z","technology","Technology","2.602111175900198"
"2020-02-11T15:56:07Z","commentisfree","Opinion","2.0993820662928777"
"2020-02-11T15:42:17Z","media","Media","1.9580070707641417"
"2020-02-11T15:39:24Z","business","Business","1.2755429968271879"
"2020-02-11T15:30:07Z","football","Football","1.2310519119114265"
"2020-02-11T15:30:07Z","environment","Environment","3.677275855464497"
"2020-02-11T15:30:00Z","world","World news","1.5988558031035636"
"2020-02-11T15:27:32Z","environment","Environment","1.8495790401168812"
"2020-02-11T15:26:54Z","world","World news","1.2622178135898863"
"2020-02-11T15:26:18Z","sport","Sport","1.2244817710475624"
"2020-02-11T15:25:41Z","environment","Environment","3.6898061553678962"
"2020-02-11T15:14:50Z","world","World news","0.7748538943739998"
"2020-02-11T15:11:04Z","us-news","US news","1.68697862172645"
"2020-02-11T15:05:45Z","world","World news","1.9144763739868513"
"2020-02-11T15:03:43Z","environment","Environment","0.5870764375995371"
"2020-02-11T15:01:08Z","sport","Sport","1.467803989989439"
"2020-02-11T15:00:48Z","gnm-press-office","GNM press office","0.0"
"2020-02-11T14:56:20Z","uk-news","UK news","0.0"
"2020-02-11T14:54:07Z","help","Help","1.342043349357753"
"2020-02-11T14:53:40Z","money","Money","2.382454924878406"
"2020-02-11T14:53:05Z","science","Science","1.8634414078096229"
