"2020-06-14T23:53:38Z","black-hawk-every-ingredient-matters","Black Hawk: Every ingredient matters","0.0"
"2020-06-14T23:46:07Z","sport","Sport","1.3398548705081923"
"2020-06-14T23:38:52Z","world","World news","4.519381186292216"
"2020-06-14T23:01:03Z","business","Business","2.6249029488551154"
"2020-06-14T23:01:03Z","technology","Technology","3.4403361950383817"
"2020-06-14T23:01:03Z","business","Business","2.8649663880712692"
"2020-06-14T23:01:03Z","uk-news","UK news","4.340786819659232"
"2020-06-14T23:01:03Z","football","Football","2.0533949399752753"
"2020-06-14T23:00:03Z","crosswords","Crosswords","0.0"
"2020-06-14T23:00:03Z","crosswords","Crosswords","0.0"
"2020-06-14T23:00:03Z","crosswords","Crosswords","0.0"
"2020-06-14T22:58:26Z","sport","Sport","1.6417478749831924"
"2020-06-14T22:31:01Z","uk-news","UK news","1.7631744278321624"
"2020-06-14T22:22:38Z","us-news","US news","0.0"
"2020-06-14T22:08:26Z","us-news","US news","2.3898293065006575"
"2020-06-14T22:07:56Z","football","Football","1.2915776727108754"
"2020-06-14T21:30:01Z","sport","Sport","2.1129642337184795"
"2020-06-14T21:09:08Z","australia-news","Australia news","2.42725946124364"
"2020-06-14T21:04:12Z","us-news","US news","2.426211044151151"
"2020-06-14T21:00:00Z","tv-and-radio","Television & radio","2.5787744624533793"
"2020-06-14T21:00:00Z","football","Football","1.9988428016453963"
"2020-06-14T20:30:00Z","science","Science","0.0"
"2020-06-14T20:00:01Z","news","News","1.7063043852994"
"2020-06-14T19:23:27Z","football","Football","0.952567380094287"
"2020-06-14T19:05:21Z","uk-news","UK news","1.70418582064644"
"2020-06-14T18:38:13Z","world","World news","1.4165927186920562"
"2020-06-14T18:20:10Z","world","World news","2.6524017098959805"
"2020-06-14T18:11:45Z","sport","Sport","1.9696378621394142"
"2020-06-14T18:06:29Z","world","World news","3.916010303433719"
"2020-06-14T18:00:52Z","politics","Politics","3.2778723110290304"
"2020-06-14T18:00:51Z","football","Football","0.9432120627283954"
"2020-06-14T18:00:21Z","society","Society","4.4455525797112605"
"2020-06-14T17:37:39Z","uk-news","UK news","3.185023183710736"
"2020-06-14T17:32:06Z","uk-news","UK news","1.830763747510595"
"2020-06-14T17:30:52Z","environment","Environment","2.358924177721056"
"2020-06-14T17:30:51Z","media","Media","3.0114801274634075"
"2020-06-14T17:30:51Z","environment","Environment","1.1899817306046887"
"2020-06-14T17:30:51Z","us-news","US news","1.9995451621674152"
"2020-06-14T17:30:06Z","education","Education","1.775737153481789"
"2020-06-14T17:27:05Z","football","Football","0.5590805992686478"
"2020-06-14T17:26:19Z","commentisfree","Opinion","3.365580931388278"
"2020-06-14T17:17:44Z","world","World news","4.229300378469925"
"2020-06-14T17:09:39Z","commentisfree","Opinion","4.572694861816256"
"2020-06-14T17:09:35Z","stage","Stage","0.0"
"2020-06-14T17:09:27Z","commentisfree","Opinion","3.302648379821789"
"2020-06-14T17:07:58Z","politics","Politics","4.133752291155756"
"2020-06-14T17:07:30Z","culture","Culture","0.9860676096733151"
"2020-06-14T17:06:20Z","film","Film","2.2231198895463367"
"2020-06-14T17:03:50Z","australia-news","Australia news","2.322628278386165"
"2020-06-14T17:03:28Z","world","World news","3.8708625932489285"
"2020-06-14T17:00:50Z","sport","Sport","2.1195989284896353"
"2020-06-14T16:47:28Z","world","World news","2.6862081977222174"
"2020-06-14T16:46:56Z","global-development","Global development","1.6089047923361746"
"2020-06-14T16:44:58Z","education","Education","3.204501105026893"
"2020-06-14T16:44:18Z","technology","Technology","0.0"
"2020-06-14T16:42:53Z","world","World news","3.939481298095376"
"2020-06-14T16:33:42Z","uk-news","UK news","1.6651732552650576"
"2020-06-14T16:28:28Z","us-news","US news","1.5186310770809006"
"2020-06-14T15:48:53Z","world","World news","1.4902929182144415"
"2020-06-14T15:45:43Z","us-news","US news","1.4453278927040836"
"2020-06-14T15:41:18Z","uk-news","UK news","2.9214163795781247"
"2020-06-14T15:34:09Z","world","World news","4.586424143167036"
"2020-06-14T15:30:48Z","football","Football","2.603118461466938"
"2020-06-14T15:07:56Z","world","World news","4.376751713337155"
"2020-06-14T15:05:31Z","commentisfree","Opinion","1.7752846320245501"
"2020-06-14T15:03:34Z","business","Business","1.3258771293010883"
"2020-06-14T14:33:26Z","football","Football","2.3517271839663354"
"2020-06-14T14:24:46Z","politics","Politics","1.468906443279913"
"2020-06-14T14:22:56Z","sport","Sport","0.934990505297973"
"2020-06-14T14:22:27Z","uk-news","UK news","3.094247087309833"
"2020-06-14T14:19:59Z","world","World news","4.085567655646498"
"2020-06-14T14:00:47Z","stage","Stage","1.5575809519474144"
"2020-06-14T14:00:47Z","music","Music","1.2521680490893985"
"2020-06-14T14:00:47Z","lifeandstyle","Life and style","2.0328007053937585"
"2020-06-14T13:56:35Z","world","World news","3.401988625274582"
"2020-06-14T13:37:01Z","fashion","Fashion","1.4827905054327268"
"2020-06-14T13:21:03Z","us-news","US news","2.2898766959590677"
"2020-06-14T13:04:42Z","football","Football","0.0"
"2020-06-14T13:00:46Z","commentisfree","Opinion","1.9220794135615094"
"2020-06-14T13:00:45Z","lifeandstyle","Life and style","2.2987294883550247"
"2020-06-14T13:00:13Z","business","Business","3.461483045046175"
"2020-06-14T12:41:11Z","sport","Sport","2.182053273817001"
"2020-06-14T12:30:45Z","australia-news","Australia news","3.1650714899839048"
"2020-06-14T12:30:44Z","media","Media","1.3927034311260027"
"2020-06-14T12:30:27Z","world","World news","0.0"
"2020-06-14T12:03:34Z","world","World news","2.4146397495754925"
"2020-06-14T12:00:45Z","books","Books","1.1914423717059381"
"2020-06-14T12:00:44Z","artanddesign","Art and design","3.4118915951162547"
"2020-06-14T12:00:44Z","australia-news","Australia news","3.636118517666488"
