"2020-08-16T23:14:05Z","global-development","Global development","3.9859017760736246"
"2020-08-16T23:13:32Z","world","World news","4.498697703576274"
"2020-08-16T23:09:07Z","sport","Sport","1.0431824837287786"
"2020-08-16T23:01:24Z","business","Business","2.618944919828163"
"2020-08-16T23:01:24Z","money","Money","2.418138879075017"
"2020-08-16T23:01:24Z","business","Business","1.3105445022523416"
"2020-08-16T23:01:24Z","world","World news","4.51020038795418"
"2020-08-16T23:01:24Z","society","Society","2.9459967173751016"
"2020-08-16T23:01:23Z","football","Football","0.0"
"2020-08-16T23:00:24Z","crosswords","Crosswords","0.0"
"2020-08-16T23:00:24Z","crosswords","Crosswords","0.0"
"2020-08-16T23:00:24Z","crosswords","Crosswords","0.0"
"2020-08-16T23:00:23Z","environment","Environment","2.19391292439834"
"2020-08-16T22:45:50Z","football","Football","1.0937471751356564"
"2020-08-16T22:10:22Z","tv-and-radio","Television & radio","0.7534080156836538"
"2020-08-16T22:00:34Z","football","Football","0.0"
"2020-08-16T21:33:28Z","us-news","US news","3.5072977268488366"
"2020-08-16T21:17:53Z","football","Football","1.9181102607777172"
"2020-08-16T21:09:39Z","world","World news","0.7300906957516295"
"2020-08-16T21:04:57Z","football","Football","0.9924339828851293"
"2020-08-16T21:00:51Z","us-news","US news","3.5253904356152663"
"2020-08-16T21:00:21Z","society","Society","2.395301910349043"
"2020-08-16T20:59:38Z","australia-news","Australia news","3.7853481916967233"
"2020-08-16T20:30:21Z","science","Science","3.5147848326582722"
"2020-08-16T20:30:20Z","books","Books","1.1639764600521165"
"2020-08-16T20:29:26Z","us-news","US news","2.0720060651485093"
"2020-08-16T20:00:20Z","politics","Politics","3.9012907738782596"
"2020-08-16T20:00:20Z","news","News","1.2641889151592027"
"2020-08-16T20:00:20Z","education","Education","3.1491056041030103"
"2020-08-16T19:40:47Z","sport","Sport","0.45012282947972804"
"2020-08-16T19:27:10Z","sport","Sport","1.4182508821257893"
"2020-08-16T19:24:10Z","world","World news","1.9667683791757231"
"2020-08-16T19:14:56Z","us-news","US news","2.4839904793162204"
"2020-08-16T18:40:05Z","world","World news","4.299394988540969"
"2020-08-16T18:36:01Z","membership","Membership","1.5762803161554104"
"2020-08-16T18:33:45Z","world","World news","0.0"
"2020-08-16T18:33:06Z","football","Football","1.3741190065592723"
"2020-08-16T18:25:24Z","sport","Sport","1.3306698310668956"
"2020-08-16T17:57:52Z","uk-news","UK news","0.0"
"2020-08-16T17:56:59Z","sport","Sport","0.7615310386297784"
"2020-08-16T17:38:33Z","politics","Politics","1.9929485232331303"
"2020-08-16T17:35:49Z","world","World news","4.549697054024784"
"2020-08-16T17:31:18Z","us-news","US news","2.1081836338124473"
"2020-08-16T17:30:17Z","australia-news","Australia news","4.317193888988938"
"2020-08-16T17:30:17Z","commentisfree","Opinion","1.5721085393400616"
"2020-08-16T17:30:17Z","australia-news","Australia news","2.1190910781676777"
"2020-08-16T17:29:14Z","world","World news","1.6436693639702809"
