"2020-11-16T23:59:08Z","powershop-power-potential","Powershop: Power potential","1.5821217619833163"
"2020-11-16T23:46:14Z","world","World news","4.667901395135466"
"2020-11-16T23:33:50Z","uk-news","UK news","3.7694988084929055"
"2020-11-16T23:29:29Z","australia-news","Australia news","3.198619831109404"
"2020-11-16T23:21:06Z","world","World news","3.453024618286623"
"2020-11-16T23:10:38Z","world","World news","4.208857550687931"
"2020-11-16T22:58:38Z","lifeandstyle","Life and style","0.0"
"2020-11-16T22:48:10Z","sport","Sport","3.2790931764962403"
"2020-11-16T22:45:38Z","world","World news","0.0"
"2020-11-16T22:42:59Z","culture","Culture","1.7798228662020095"
"2020-11-16T22:30:17Z","tv-and-radio","Television & radio","0.773279642754926"
"2020-11-16T22:30:17Z","football","Football","1.8508969453657538"
"2020-11-16T22:30:17Z","football","Football","1.983249772345245"
"2020-11-16T21:53:15Z","australia-news","Australia news","2.1634115363419384"
"2020-11-16T21:47:51Z","us-news","US news","3.573428035474147"
"2020-11-16T21:35:09Z","global-development","Global development","4.5505698966609245"
"2020-11-16T21:30:16Z","news","News","0.9700216752204941"
"2020-11-16T21:23:46Z","australia-news","Australia news","1.7975117206169653"
"2020-11-16T21:17:45Z","sport","Sport","0.0"
"2020-11-16T21:00:15Z","football","Football","0.0"
"2020-11-16T21:00:15Z","news","News","2.1823515047372637"
"2020-11-16T20:46:32Z","world","World news","4.7053363050009995"
"2020-11-16T20:07:04Z","sport","Sport","1.71939517667916"
"2020-11-16T20:06:50Z","world","World news","4.455438522900421"
"2020-11-16T20:00:14Z","stage","Stage","0.8123216175817567"
"2020-11-16T19:55:39Z","australia-news","Australia news","3.8702948033243527"
"2020-11-16T19:53:15Z","business","Business","3.092316068474225"
"2020-11-16T19:42:36Z","world","World news","4.148991547555588"
"2020-11-16T19:40:48Z","uk-news","UK news","3.1010767119121603"
"2020-11-16T19:38:15Z","business","Business","4.299252475804619"
"2020-11-16T19:33:28Z","world","World news","1.944197819869801"
"2020-11-16T19:24:31Z","world","World news","4.574258652906058"
"2020-11-16T19:20:18Z","world","World news","3.985497816174151"
"2020-11-16T19:18:52Z","world","World news","4.819952347495067"
"2020-11-16T19:07:13Z","politics","Politics","3.385406040748513"
"2020-11-16T19:05:27Z","commentisfree","Opinion","3.616578028921408"
"2020-11-16T19:04:15Z","commentisfree","Opinion","2.729958293813945"
"2020-11-16T18:57:30Z","society","Society","4.858311767649434"
"2020-11-16T18:43:45Z","politics","Politics","1.0294908631990216"
"2020-11-16T18:31:50Z","politics","Politics","2.2390933906230797"
"2020-11-16T18:31:07Z","business","Business","4.7190856733682915"
"2020-11-16T18:18:20Z","commentisfree","Opinion","2.665348448537819"
"2020-11-16T18:15:49Z","politics","Politics","4.560655484373701"
"2020-11-16T18:10:09Z","business","Business","4.142207819545509"
"2020-11-16T18:09:36Z","uk-news","UK news","1.61264561366087"
"2020-11-16T17:57:40Z","commentisfree","Opinion","1.5908987758010247"
"2020-11-16T17:57:33Z","education","Education","4.199856408519103"
"2020-11-16T17:50:32Z","politics","Politics","4.305078590020243"
"2020-11-16T17:47:44Z","society","Society","0.8688145829012264"
"2020-11-16T17:39:58Z","culture","Culture","2.511285215724309"
"2020-11-16T17:36:37Z","stage","Stage","2.02347304902742"
"2020-11-16T17:36:36Z","sport","Sport","0.9005354181181039"
"2020-11-16T17:33:07Z","world","World news","2.426211044151151"
"2020-11-16T17:18:27Z","sport","Sport","3.5401707043840793"
"2020-11-16T17:17:57Z","media","Media","1.4766784225881597"
"2020-11-16T17:16:32Z","us-news","US news","2.4596665804327604"
"2020-11-16T17:13:23Z","commentisfree","Opinion","2.0028650419827856"
"2020-11-16T17:06:12Z","politics","Politics","2.158734021570475"
"2020-11-16T17:05:36Z","world","World news","2.0201571317323554"
"2020-11-16T17:04:58Z","world","World news","1.757479693781229"
"2020-11-16T17:03:12Z","sport","Sport","0.4490949483208238"
"2020-11-16T16:59:27Z","science","Science","0.9321802493098982"
"2020-11-16T16:59:14Z","society","Society","2.4281332917352323"
"2020-11-16T16:51:06Z","uk-news","UK news","1.6930425636710063"
"2020-11-16T16:40:23Z","football","Football","1.5346437666515345"
"2020-11-16T16:39:49Z","sport","Sport","0.0"
"2020-11-16T16:35:28Z","world","World news","4.0242334420443875"
"2020-11-16T16:34:27Z","world","World news","1.7228282076069164"
"2020-11-16T16:32:50Z","us-news","US news","2.278951718836813"
"2020-11-16T16:32:19Z","environment","Environment","1.4605943271303987"
"2020-11-16T16:31:57Z","world","World news","1.4792906177938183"
"2020-11-16T16:31:41Z","education","Education","0.0"
"2020-11-16T16:31:38Z","world","World news","4.305984714609286"
