"2021-02-11T23:59:27Z","stage","Stage","1.7215472569719161"
"2021-02-11T23:58:47Z","us-news","US news","1.4001400066737717"
"2021-02-11T23:53:35Z","us-news","US news","1.13202910794454"
"2021-02-11T23:50:10Z","us-news","US news","4.087601239674124"
"2021-02-11T23:40:38Z","us-news","US news","4.1873250057859055"
"2021-02-11T23:37:01Z","music","Music","3.4364096862899784"
"2021-02-11T23:28:12Z","sport","Sport","1.7891600396385408"
"2021-02-11T23:23:55Z","politics","Politics","1.8377871195179225"
"2021-02-11T22:34:54Z","football","Football","2.085737777429525"
"2021-02-11T22:25:33Z","music","Music","1.1021805350946277"
"2021-02-11T22:05:31Z","sport","Sport","1.7527454530577335"
"2021-02-11T22:02:37Z","football","Football","1.244432983955044"
"2021-02-11T22:00:48Z","football","Football","1.2249060139924017"
"2021-02-11T22:00:25Z","sport","Sport","1.5799319722314573"
"2021-02-11T22:00:25Z","sport","Sport","0.0"
"2021-02-11T21:26:34Z","australia-news","Australia news","3.509123182713659"
"2021-02-11T21:20:38Z","australia-news","Australia news","4.459641114863223"
"2021-02-11T21:13:11Z","world","World news","1.666747432330906"
"2021-02-11T21:10:05Z","music","Music","0.0"
"2021-02-11T21:00:23Z","news","News","1.2486118624929894"
"2021-02-11T20:44:05Z","society","Society","4.647366561591767"
"2021-02-11T20:27:51Z","world","World news","2.090456601910513"
"2021-02-11T20:16:06Z","football","Football","0.6477112933920348"
"2021-02-11T20:15:48Z","environment","Environment","2.1321646854959484"
"2021-02-11T20:07:43Z","us-news","US news","0.0"
"2021-02-11T20:05:53Z","us-news","US news","1.9913992985515676"
"2021-02-11T20:02:23Z","australia-news","Australia news","3.2735597727227606"
"2021-02-11T20:00:22Z","football","Football","1.5246268384075399"
"2021-02-11T19:59:15Z","society","Society","4.46105090364166"
"2021-02-11T19:55:45Z","business","Business","3.2073346399194054"
"2021-02-11T19:55:00Z","world","World news","2.9672733579178683"
"2021-02-11T19:48:09Z","society","Society","3.7487119070438144"
"2021-02-11T19:41:06Z","football","Football","1.5881218576800342"
"2021-02-11T19:40:43Z","us-news","US news","1.9902167250513338"
"2021-02-11T19:39:58Z","society","Society","4.223919406003285"
"2021-02-11T19:35:31Z","football","Football","0.0"
"2021-02-11T19:35:09Z","society","Society","4.27605625847142"
"2021-02-11T19:20:09Z","australia-news","Australia news","4.532104994441238"
"2021-02-11T19:16:40Z","uk-news","UK news","2.2219840626248812"
"2021-02-11T19:15:18Z","politics","Politics","3.413279288355701"
"2021-02-11T19:00:21Z","football","Football","2.5127725046382285"
"2021-02-11T19:00:21Z","us-news","US news","2.615943338604459"
"2021-02-11T18:49:36Z","media","Media","2.397327284597255"
"2021-02-11T18:44:20Z","world","World news","4.584532727558732"
"2021-02-11T18:42:08Z","uk-news","UK news","2.3705424208804025"
"2021-02-11T18:40:34Z","technology","Technology","2.3679592068732442"
"2021-02-11T18:39:08Z","commentisfree","Opinion","4.319074541816064"
"2021-02-11T18:38:33Z","commentisfree","Opinion","1.2699907043942789"
"2021-02-11T18:33:02Z","us-news","US news","1.1599522692674653"
"2021-02-11T18:21:09Z","politics","Politics","4.6497479452070465"
"2021-02-11T18:20:17Z","business","Business","1.930848345441044"
"2021-02-11T18:17:25Z","politics","Politics","1.0028800788933934"
"2021-02-11T18:15:07Z","sport","Sport","2.039521495904593"
"2021-02-11T18:14:31Z","politics","Politics","2.8644092246426567"
"2021-02-11T18:11:47Z","politics","Politics","2.147824727556454"
"2021-02-11T18:11:07Z","society","Society","4.847381611661788"
"2021-02-11T18:09:16Z","politics","Politics","1.136918771905846"
"2021-02-11T18:09:02Z","environment","Environment","2.5649493574615367"
"2021-02-11T18:08:33Z","politics","Politics","1.906324627726283"
"2021-02-11T18:07:26Z","commentisfree","Opinion","2.92325620936095"
"2021-02-11T18:07:17Z","business","Business","4.403435202615639"
"2021-02-11T18:06:45Z","world","World news","1.0447725417510814"
"2021-02-11T18:06:22Z","world","World news","3.784002230129479"
"2021-02-11T18:01:25Z","uk-news","UK news","2.998642831972729"
"2021-02-11T18:00:20Z","politics","Politics","1.7581890296782414"
"2021-02-11T18:00:20Z","uk-news","UK news","1.7680832585726978"
"2021-02-11T18:00:20Z","education","Education","2.4724073849828425"
"2021-02-11T17:58:32Z","business","Business","2.1784831796000623"
"2021-02-11T17:58:17Z","business","Business","1.7821028898440407"
"2021-02-11T17:56:13Z","travel","Travel","2.0880369044018052"
"2021-02-11T17:50:34Z","tv-and-radio","Television & radio","1.5163474893680884"
"2021-02-11T17:46:24Z","world","World news","4.820769028542703"
"2021-02-11T17:45:56Z","lifeandstyle","Life and style","1.9361777121370822"
"2021-02-11T17:43:46Z","film","Film","1.3186110683117385"
"2021-02-11T17:42:56Z","world","World news","1.7532385906878896"
"2021-02-11T17:41:56Z","society","Society","2.6757095298934632"
"2021-02-11T17:40:22Z","education","Education","1.6278217770279324"
"2021-02-11T17:25:40Z","technology","Technology","1.4709695662687299"
"2021-02-11T17:18:30Z","politics","Politics","3.3818528643124157"
"2021-02-11T17:15:55Z","books","Books","0.0"
"2021-02-11T17:09:09Z","money","Money","3.655617395737756"
"2021-02-11T17:01:01Z","world","World news","1.9988428016453963"
"2021-02-11T16:58:30Z","society","Society","4.004613271267561"
"2021-02-11T16:47:38Z","uk-news","UK news","0.7655079606228307"
"2021-02-11T16:44:23Z","world","World news","4.005767324443898"
