"2021-03-21T22:56:42Z","brother-doing-business-well","Brother: Doing business well","2.6386536969155303"
"2021-03-21T22:49:48Z","the-university-of-melbourne-graduating-performances","The University of Melbourne: Graduating Performances","2.7948496912386265"
"2021-03-21T22:46:38Z","football","Football","1.4445021401902272"
"2021-03-21T22:31:59Z","politics","Politics","2.337107920564439"
"2021-03-21T22:10:26Z","football","Football","1.3809185393132697"
"2021-03-21T22:00:06Z","tv-and-radio","Television & radio","0.9949338591932683"
"2021-03-21T22:00:06Z","sport","Sport","1.3090630131839005"
"2021-03-21T22:00:06Z","sport","Sport","0.0"
"2021-03-21T22:00:06Z","tv-and-radio","Television & radio","0.6569687462663905"
"2021-03-21T21:33:40Z","football","Football","0.4375110545928557"
"2021-03-21T21:00:04Z","news","News","2.6809718497644934"
"2021-03-21T20:31:48Z","football","Football","0.4192584302405003"
"2021-03-21T20:09:24Z","australia-news","Australia news","1.5545770959024188"
"2021-03-21T20:00:14Z","australia-news","Australia news","3.167043872554534"
"2021-03-21T19:52:55Z","science","Science","0.0"
"2021-03-21T19:16:59Z","us-news","US news","3.078190848462418"
"2021-03-21T19:15:13Z","football","Football","0.43194377633917447"
"2021-03-21T19:00:30Z","football","Football","1.2437457748451792"
"2021-03-21T19:00:02Z","sport","Sport","2.3522050388276545"
"2021-03-21T18:52:39Z","world","World news","1.5367887297440384"
"2021-03-21T18:52:07Z","world","World news","4.276091601464411"
"2021-03-21T18:47:31Z","politics","Politics","3.6031659358399066"
"2021-03-21T18:33:22Z","commentisfree","Opinion","1.0364830991309857"
"2021-03-21T18:32:43Z","commentisfree","Opinion","1.8248009487925803"
"2021-03-21T18:29:55Z","football","Football","2.218847041349385"
"2021-03-21T18:27:41Z","culture","Culture","3.265951797152796"
"2021-03-21T18:20:42Z","world","World news","1.9214569913418558"
"2021-03-21T18:17:22Z","sport","Sport","1.7793677369328915"
"2021-03-21T18:08:18Z","education","Education","0.0"
"2021-03-21T18:00:01Z","world","World news","4.424415210704234"
"2021-03-21T17:51:15Z","uk-news","UK news","1.3210229707666667"
"2021-03-21T17:50:10Z","politics","Politics","3.002995961530748"
"2021-03-21T17:49:43Z","sport","Sport","1.7261426147810328"
"2021-03-21T17:48:57Z","games","Games","1.219836757237905"
"2021-03-21T17:46:46Z","sport","Sport","1.1613320971584569"
"2021-03-21T17:46:13Z","world","World news","1.1412508141147628"
"2021-03-21T17:31:39Z","business","Business","2.676797657598106"
"2021-03-21T17:30:59Z","us-news","US news","1.8258924755975137"
"2021-03-21T17:15:36Z","world","World news","4.357503521564741"
"2021-03-21T17:08:28Z","football","Football","0.23074500477905857"
"2021-03-21T17:04:21Z","football","Football","0.7273160761751951"
"2021-03-21T16:52:40Z","world","World news","1.3662346914453547"
"2021-03-21T16:47:56Z","music","Music","1.8941381308436545"
"2021-03-21T16:30:39Z","australia-news","Australia news","1.3889251174132244"
"2021-03-21T16:30:13Z","books","Books","1.7453895417702476"
"2021-03-21T16:30:04Z","money","Money","2.458634207183597"
"2021-03-21T16:30:03Z","culture","Culture","2.371060031023867"
"2021-03-21T16:30:03Z","sport","Sport","1.6744844345985985"
"2021-03-21T16:30:03Z","commentisfree","Opinion","1.9127973166045147"
"2021-03-21T16:30:03Z","football","Football","1.1704545339259076"
"2021-03-21T16:30:02Z","australia-news","Australia news","1.5488364527953746"
"2021-03-21T16:30:02Z","fashion","Fashion","2.0515127661548256"
"2021-03-21T16:30:02Z","culture","Culture","0.0"
"2021-03-21T16:25:44Z","commentisfree","Opinion","2.193440948820041"
"2021-03-21T16:24:22Z","law","Law","3.7248731341760792"
"2021-03-21T16:04:00Z","uk-news","UK news","2.2250524599589596"
"2021-03-21T15:52:39Z","us-news","US news","1.5023944395533635"
"2021-03-21T15:51:38Z","sport","Sport","1.064274151087218"
"2021-03-21T15:50:55Z","football","Football","1.7266605670166992"
"2021-03-21T15:50:48Z","football","Football","0.6099482367049714"
"2021-03-21T15:45:34Z","football","Football","1.1975941222169606"
"2021-03-21T15:31:09Z","business","Business","3.428605659430753"
"2021-03-21T15:22:43Z","world","World news","0.7685968944955303"
"2021-03-21T15:01:57Z","uk-news","UK news","2.111244764610658"
"2021-03-21T15:00:01Z","music","Music","0.0"
"2021-03-21T15:00:01Z","artanddesign","Art and design","1.2836607798352664"
"2021-03-21T15:00:00Z","stage","Stage","1.3665611251341205"
"2021-03-21T14:58:32Z","commentisfree","Opinion","2.279513972092734"
"2021-03-21T14:54:49Z","uk-news","UK news","2.1014606781470526"
"2021-03-21T14:41:00Z","sport","Sport","0.9715498792824862"
"2021-03-21T14:00:02Z","commentisfree","Opinion","1.5550504691404872"
"2021-03-21T14:00:02Z","lifeandstyle","Life and style","0.7957271823656425"
"2021-03-21T14:00:01Z","film","Film","3.564685990123018"
"2021-03-21T13:58:24Z","football","Football","1.672913272015965"
"2021-03-21T13:57:57Z","football","Football","1.8322315483076372"
"2021-03-21T13:51:17Z","business","Business","3.3247546710500697"
"2021-03-21T13:39:12Z","global-development","Global development","1.7742675117702178"
"2021-03-21T13:37:07Z","commentisfree","Opinion","3.0321842182793834"
"2021-03-21T13:12:05Z","society","Society","4.5582191117784365"
"2021-03-21T13:00:01Z","music","Music","1.2215212745673165"
"2021-03-21T13:00:01Z","food","Food","2.719460828070137"
"2021-03-21T13:00:01Z","science","Science","3.0838060603849318"
"2021-03-21T13:00:00Z","music","Music","0.91779336175869"
"2021-03-21T12:58:54Z","science","Science","4.306708573004421"
"2021-03-21T12:46:26Z","world","World news","3.5554117638719043"
"2021-03-21T12:30:54Z","books","Books","3.2642664195013116"
"2021-03-21T12:19:42Z","sport","Sport","2.3514883601438616"
"2021-03-21T12:05:10Z","business","Business","3.6783301784970597"
"2021-03-21T12:00:54Z","food","Food","0.7218323285588039"
"2021-03-21T12:00:54Z","music","Music","3.761294264354367"
"2021-03-21T12:00:54Z","fashion","Fashion","1.8712470985816496"
"2021-03-21T11:32:56Z","uk-news","UK news","3.5814291249181753"
"2021-03-21T11:30:53Z","food","Food","0.0"
"2021-03-21T11:00:53Z","artanddesign","Art and design","1.7099170610187695"
"2021-03-21T11:00:53Z","food","Food","0.0"
"2021-03-21T11:00:53Z","food","Food","1.2703591559889282"
"2021-03-21T11:00:53Z","film","Film","0.0"
"2021-03-21T10:45:52Z","society","Society","4.356238854543575"
"2021-03-21T10:42:04Z","world","World news","3.826127117660174"
"2021-03-21T10:30:52Z","stage","Stage","0.9159908368351701"
"2021-03-21T10:30:52Z","world","World news","4.218886740090791"
"2021-03-21T10:30:52Z","food","Food","1.2887148540684685"
"2021-03-21T10:30:52Z","books","Books","1.192773703268561"
"2021-03-21T10:15:52Z","books","Books","0.0"
"2021-03-21T10:15:51Z","stage","Stage","2.7884084823333013"
"2021-03-21T10:00:52Z","music","Music","3.566258444915395"
"2021-03-21T10:00:52Z","commentisfree","Opinion","2.240184203189247"
"2021-03-21T10:00:52Z","music","Music","1.7692036636849364"
"2021-03-21T10:00:52Z","business","Business","1.4916261737251453"
"2021-03-21T10:00:52Z","lifeandstyle","Life and style","2.467261456869342"
"2021-03-21T10:00:51Z","artanddesign","Art and design","3.731378612836276"
"2021-03-21T10:00:51Z","environment","Environment","3.4996733733705465"
"2021-03-21T09:45:51Z","uk-news","UK news","2.5213818613230403"
"2021-03-21T09:30:52Z","tv-and-radio","Television & radio","0.8781608440889526"
"2021-03-21T09:30:52Z","lifeandstyle","Life and style","2.107817100453931"
"2021-03-21T09:30:52Z","lifeandstyle","Life and style","0.5084370875985734"
"2021-03-21T09:30:51Z","books","Books","0.4074751590361886"
"2021-03-21T09:30:51Z","world","World news","4.645831004487999"
"2021-03-21T09:30:51Z","society","Society","4.231437612270768"
"2021-03-21T09:30:51Z","tv-and-radio","Television & radio","1.5425436776040702"
"2021-03-21T09:15:50Z","environment","Environment","1.8954476361330914"
"2021-03-21T09:15:50Z","money","Money","1.2613104135789617"
"2021-03-21T09:00:51Z","money","Money","1.9810014688665833"
"2021-03-21T09:00:51Z","us-news","US news","3.1578556824845685"
"2021-03-21T09:00:51Z","us-news","US news","2.141801261806867"
"2021-03-21T09:00:51Z","music","Music","1.2605553714094753"
"2021-03-21T09:00:51Z","travel","Travel","1.1399232651589255"
"2021-03-21T09:00:51Z","food","Food","0.0"
"2021-03-21T09:00:50Z","us-news","US news","4.44749461709603"
"2021-03-21T09:00:50Z","commentisfree","Opinion","3.561057030170681"
"2021-03-21T09:00:50Z","fashion","Fashion","1.6954024407955701"
"2021-03-21T08:45:50Z","education","Education","1.4118798241566037"
"2021-03-21T08:45:50Z","commentisfree","Opinion","3.9764610888891427"
"2021-03-21T08:30:50Z","lifeandstyle","Life and style","0.917492414374059"
"2021-03-21T08:30:50Z","artanddesign","Art and design","2.239191967352624"
"2021-03-21T08:30:50Z","commentisfree","Opinion","2.3281806401830094"
"2021-03-21T08:15:49Z","world","World news","2.0673533723120063"
"2021-03-21T08:15:49Z","lifeandstyle","Life and style","0.5154004433702345"
"2021-03-21T08:01:49Z","books","Books","2.7124734815363216"
"2021-03-21T08:00:50Z","food","Food","2.1994498911891673"
"2021-03-21T08:00:50Z","lifeandstyle","Life and style","3.425873021078628"
"2021-03-21T08:00:50Z","culture","Culture","0.0"
"2021-03-21T08:00:49Z","politics","Politics","4.004691066699222"
"2021-03-21T08:00:49Z","film","Film","2.484550243379095"
"2021-03-21T08:00:49Z","commentisfree","Opinion","1.9703016021794724"
"2021-03-21T08:00:49Z","football","Football","2.120889563296208"
"2021-03-21T08:00:49Z","sport","Sport","0.0"
"2021-03-21T07:57:27Z","australia-news","Australia news","3.19451831829878"
"2021-03-21T07:45:49Z","commentisfree","Opinion","2.0811935130952994"
"2021-03-21T07:45:48Z","world","World news","3.631745285569236"
"2021-03-21T07:32:57Z","australia-news","Australia news","4.740618421325173"
"2021-03-21T07:30:48Z","commentisfree","Opinion","0.5571625842092323"
"2021-03-21T07:30:48Z","environment","Environment","0.0"
"2021-03-21T07:15:48Z","world","World news","1.7199997773051336"
"2021-03-21T07:15:48Z","commentisfree","Opinion","0.0"
"2021-03-21T07:00:49Z","books","Books","2.407495785414708"
"2021-03-21T07:00:48Z","business","Business","1.5060248170606696"
"2021-03-21T07:00:48Z","artanddesign","Art and design","2.433040117764731"
"2021-03-21T07:00:48Z","technology","Technology","2.2758168436895296"
"2021-03-21T07:00:48Z","commentisfree","Opinion","2.0458526086343047"
"2021-03-21T07:00:48Z","theobserver","From the Observer","3.802110376560972"
"2021-03-21T07:00:48Z","world","World news","3.574172616300626"
"2021-03-21T07:00:48Z","business","Business","2.7173581800290165"
"2021-03-21T06:45:48Z","lifeandstyle","Life and style","2.3082295106137227"
"2021-03-21T06:45:47Z","environment","Environment","1.5212223630046897"
"2021-03-21T06:45:47Z","commentisfree","Opinion","0.5874313304398212"
"2021-03-21T06:30:47Z","lifeandstyle","Life and style","2.1320852751652577"
"2021-03-21T06:30:47Z","theobserver","From the Observer","1.7280436548419473"
"2021-03-21T06:15:47Z","commentisfree","Opinion","4.262854391020328"
"2021-03-21T06:15:47Z","lifeandstyle","Life and style","0.0"
"2021-03-21T06:00:48Z","food","Food","2.3257964623575407"
"2021-03-21T06:00:48Z","lifeandstyle","Life and style","0.5619831623328019"
"2021-03-21T06:00:48Z","tv-and-radio","Television & radio","1.9481993526494477"
"2021-03-21T06:00:48Z","food","Food","1.1308198619604235"
"2021-03-21T06:00:47Z","society","Society","2.5552874465497997"
"2021-03-21T06:00:47Z","commentisfree","Opinion","1.6780169802976324"
"2021-03-21T06:00:47Z","theobserver","From the Observer","2.761186456387748"
"2021-03-21T06:00:47Z","news","News","0.0"
