"2021-04-13T23:23:04Z","bank-australia-people-australia-needs","Bank Australia: People Australia Needs","2.107817100453931"
"2021-04-13T23:01:23Z","stage","Stage","2.0644210397551115"
"2021-04-13T23:01:23Z","environment","Environment","3.2854668179172806"
"2021-04-13T23:00:45Z","culture","Culture","1.8598842851049426"
"2021-04-13T23:00:23Z","crosswords","Crosswords","0.0"
"2021-04-13T23:00:23Z","crosswords","Crosswords","0.0"
"2021-04-13T22:49:22Z","world","World news","5.033168281818948"
"2021-04-13T22:44:13Z","football","Football","0.0"
"2021-04-13T22:42:06Z","world","World news","1.6598152445179766"
"2021-04-13T22:35:44Z","football","Football","1.5768784525434416"
"2021-04-13T22:35:24Z","uk-news","UK news","2.377371207064974"
"2021-04-13T22:14:19Z","football","Football","0.9584751419361788"
"2021-04-13T22:00:22Z","football","Football","1.2044980604003426"
"2021-04-13T21:57:38Z","us-news","US news","2.713137009090652"
"2021-04-13T21:34:52Z","australia-news","Australia news","4.656760982129876"
"2021-04-13T21:26:21Z","football","Football","2.0516146384142315"
"2021-04-13T21:09:40Z","football","Football","2.4880290694430274"
"2021-04-13T21:08:51Z","football","Football","1.1953245794815774"
"2021-04-13T21:08:09Z","football","Football","0.7569957353723447"
"2021-04-13T21:08:07Z","film","Film","2.530259492977882"
"2021-04-13T21:00:21Z","sport","Sport","1.8826706909193962"
"2021-04-13T21:00:20Z","sport","Sport","1.8184406541761156"
"2021-04-13T21:00:00Z","australia-news","Australia news","4.53361184940831"
"2021-04-13T20:59:23Z","us-news","US news","1.5653387152097455"
"2021-04-13T20:37:22Z","football","Football","0.0"
"2021-04-13T20:22:46Z","football","Football","0.8916676779103405"
"2021-04-13T20:00:19Z","news","News","1.517736529200759"
"2021-04-13T20:00:19Z","tv-and-radio","Television & radio","1.0010620803575607"
"2021-04-13T19:50:03Z","uk-news","UK news","0.9803087178898796"
"2021-04-13T19:42:30Z","us-news","US news","1.2434663412663989"
"2021-04-13T19:36:20Z","education","Education","3.6927080943442703"
"2021-04-13T19:21:51Z","sport","Sport","1.6904617218372078"
"2021-04-13T19:17:46Z","politics","Politics","2.140715219143124"
"2021-04-13T19:07:30Z","business","Business","1.3955528117610574"
"2021-04-13T18:50:50Z","society","Society","4.176595320316143"
"2021-04-13T18:47:55Z","us-news","US news","1.1721186506117018"
"2021-04-13T18:42:21Z","tv-and-radio","Television & radio","0.0"
"2021-04-13T18:38:27Z","world","World news","2.9427644247161613"
"2021-04-13T18:35:21Z","us-news","US news","0.9512651541459852"
"2021-04-13T18:32:01Z","world","World news","4.516594000393911"
"2021-04-13T18:31:05Z","business","Business","0.0"
"2021-04-13T18:29:41Z","education","Education","1.7858317695947798"
"2021-04-13T18:19:30Z","society","Society","1.1345277510542053"
"2021-04-13T18:11:41Z","society","Society","4.478459896153543"
"2021-04-13T18:10:01Z","uk-news","UK news","2.1045812886255595"
"2021-04-13T18:07:13Z","politics","Politics","2.441810122604628"
"2021-04-13T17:59:18Z","sport","Sport","2.313391811553405"
"2021-04-13T17:57:41Z","world","World news","1.3469711953650774"
"2021-04-13T17:57:07Z","commentisfree","Opinion","3.063182959367907"
"2021-04-13T17:55:55Z","commentisfree","Opinion","4.204791131852872"
"2021-04-13T17:55:50Z","society","Society","5.049404478818151"
"2021-04-13T17:50:10Z","us-news","US news","3.0281963774352603"
"2021-04-13T17:49:54Z","us-news","US news","3.4362670139686804"
"2021-04-13T17:49:43Z","world","World news","2.5147596129376817"
"2021-04-13T17:35:41Z","politics","Politics","2.504378753200821"
"2021-04-13T17:30:17Z","australia-news","Australia news","4.910698854853062"
"2021-04-13T17:30:17Z","tv-and-radio","Television & radio","3.7425631054011346"
"2021-04-13T17:30:17Z","australia-news","Australia news","0.9232467556879373"
"2021-04-13T17:30:17Z","environment","Environment","0.45053532283669956"
"2021-04-13T17:30:17Z","australia-news","Australia news","3.638045293363207"
"2021-04-13T17:30:17Z","sport","Sport","0.4302451371066513"
"2021-04-13T17:30:16Z","lifeandstyle","Life and style","2.8648032798280365"
"2021-04-13T17:26:05Z","business","Business","2.3477359657700334"
"2021-04-13T17:24:54Z","uk-news","UK news","1.404414384869189"
"2021-04-13T17:23:11Z","society","Society","2.7027772360311153"
"2021-04-13T17:19:24Z","world","World news","1.4457411827396889"
"2021-04-13T17:18:57Z","world","World news","1.267693345827487"
"2021-04-13T17:09:44Z","world","World news","3.7242749872825187"
"2021-04-13T17:06:39Z","world","World news","4.05041494686428"
"2021-04-13T17:05:55Z","science","Science","2.3663339264817065"
"2021-04-13T16:56:32Z","politics","Politics","1.6696567724271552"
"2021-04-13T16:56:14Z","society","Society","4.853910736741911"
"2021-04-13T16:55:05Z","football","Football","0.46635765623481806"
"2021-04-13T16:53:52Z","society","Society","4.618319598234916"
"2021-04-13T16:53:07Z","inequality","Inequality","3.7979361380368895"
"2021-04-13T16:51:57Z","society","Society","1.4455345032078635"
"2021-04-13T16:50:19Z","environment","Environment","2.176171168138387"
"2021-04-13T16:42:45Z","technology","Technology","1.8248009487925803"
"2021-04-13T16:41:48Z","us-news","US news","1.1260112628562242"
"2021-04-13T16:34:15Z","music","Music","2.9546524825853497"
"2021-04-13T16:30:48Z","commentisfree","Opinion","2.8086159964045154"
"2021-04-13T16:30:15Z","fashion","Fashion","2.6062194449509573"
"2021-04-13T16:29:00Z","tv-and-radio","Television & radio","0.7844425980272336"
"2021-04-13T16:28:03Z","science","Science","0.0"
"2021-04-13T16:27:22Z","uk-news","UK news","2.7445538142723627"
"2021-04-13T16:24:00Z","politics","Politics","5.032393297552321"
"2021-04-13T16:23:34Z","business","Business","3.9437673750173214"
"2021-04-13T16:22:42Z","guardian-masterclasses","Guardian Masterclasses","1.7419829447216109"
"2021-04-13T16:20:12Z","uk-news","UK news","3.4735180432417816"
"2021-04-13T16:16:56Z","football","Football","1.9251031565493517"
"2021-04-13T16:15:30Z","business","Business","3.587379928243527"
"2021-04-13T16:04:35Z","us-news","US news","0.4464446591521482"
"2021-04-13T16:00:14Z","film","Film","0.5597229518427213"
"2021-04-13T15:49:51Z","culture","Culture","1.3067005469314699"
"2021-04-13T15:44:46Z","football","Football","1.117173256104691"
"2021-04-13T15:35:41Z","stage","Stage","0.0"
"2021-04-13T15:23:48Z","business","Business","2.0345665754510427"
"2021-04-13T15:22:25Z","world","World news","1.6578638884356225"
"2021-04-13T15:08:03Z","technology","Technology","0.5511769192895581"
"2021-04-13T15:04:34Z","world","World news","4.394449154672439"
"2021-04-13T14:56:16Z","media","Media","1.6587486839905619"
"2021-04-13T14:50:41Z","world","World news","0.7828272025729254"
"2021-04-13T14:50:21Z","society","Society","4.6990569661028845"
"2021-04-13T14:37:05Z","commentisfree","Opinion","2.253531736297762"
"2021-04-13T14:33:43Z","world","World news","0.5079093968848454"
"2021-04-13T14:26:38Z","world","World news","1.292343531676329"
"2021-04-13T14:22:39Z","world","World news","5.049737729841567"
"2021-04-13T14:20:45Z","travel","Travel","1.613289008336198"
"2021-04-13T14:17:47Z","world","World news","5.105595762408994"
"2021-04-13T14:14:56Z","artanddesign","Art and design","0.8478061196103431"
"2021-04-13T14:00:12Z","film","Film","0.9137482942524819"
"2021-04-13T14:00:12Z","music","Music","2.086525152385856"
"2021-04-13T13:59:34Z","business","Business","3.1765739606545815"
"2021-04-13T13:57:14Z","uk-news","UK news","1.0271828417136022"
"2021-04-13T13:56:08Z","commentisfree","Opinion","2.000887180718643"
"2021-04-13T13:51:13Z","fashion","Fashion","2.162438461250804"
"2021-04-13T13:44:12Z","tv-and-radio","Television & radio","1.50262073227981"
"2021-04-13T13:21:50Z","lifeandstyle","Life and style","1.1427029566024336"
"2021-04-13T13:21:11Z","technology","Technology","1.518432180676829"
"2021-04-13T13:19:30Z","commentisfree","Opinion","1.027566730863416"
"2021-04-13T13:19:10Z","business","Business","3.3046522316270157"
"2021-04-13T13:00:11Z","technology","Technology","1.1877322144927627"
"2021-04-13T13:00:11Z","food","Food","1.432408450221911"
"2021-04-13T12:49:25Z","commentisfree","Opinion","2.161466577761438"
"2021-04-13T12:48:42Z","society","Society","1.9802321552102509"
"2021-04-13T12:45:42Z","lifeandstyle","Life and style","1.9515640480890486"
"2021-04-13T12:34:13Z","world","World news","2.120263536200091"
"2021-04-13T12:30:37Z","business","Business","1.6451743365926446"
"2021-04-13T12:29:29Z","uk-news","UK news","3.632456064195356"
"2021-04-13T12:15:33Z","business","Business","2.300594659257186"
"2021-04-13T12:07:45Z","business","Business","2.4265189794933217"
"2021-04-13T12:00:10Z","film","Film","1.1757208401071781"
"2021-04-13T11:59:10Z","politics","Politics","2.9978362329426544"
"2021-04-13T11:54:38Z","gnm-press-office","GNM press office","0.0"
"2021-04-13T11:52:09Z","tv-and-radio","Television & radio","2.220937028567036"
"2021-04-13T11:49:08Z","music","Music","1.9672091286449969"
"2021-04-13T11:32:13Z","world","World news","4.207581776498971"
"2021-04-13T11:24:21Z","artanddesign","Art and design","2.1286112845215044"
"2021-04-13T11:07:26Z","australia-news","Australia news","0.0"
"2021-04-13T11:00:16Z","sport","Sport","2.8308796963501432"
"2021-04-13T11:00:09Z","technology","Technology","2.7930470911350302"
"2021-04-13T11:00:09Z","lifeandstyle","Life and style","0.0"
"2021-04-13T11:00:08Z","football","Football","1.1788281015612008"
