"2021-07-19T23:21:30Z","law","Law","1.7378416574291717"
"2021-07-19T23:17:06Z","australia-news","Australia news","1.6265699439071668"
"2021-07-19T23:01:12Z","uk-news","UK news","1.4957324248440935"
"2021-07-19T23:01:11Z","business","Business","2.1068848796688706"
"2021-07-19T23:01:11Z","us-news","US news","0.7932882876339358"
"2021-07-19T23:01:11Z","business","Business","1.6687826678915392"
"2021-07-19T23:01:11Z","uk-news","UK news","1.6411085910616734"
"2021-07-19T23:01:11Z","society","Society","2.638129255302705"
"2021-07-19T23:01:11Z","politics","Politics","2.808812186434022"
"2021-07-19T23:01:10Z","technology","Technology","2.197817389506229"
"2021-07-19T23:00:11Z","crosswords","Crosswords","0.0"
"2021-07-19T23:00:10Z","crosswords","Crosswords","0.0"
"2021-07-19T22:58:41Z","world","World news","4.599641806126249"
"2021-07-19T22:49:17Z","world","World news","4.807747355433638"
"2021-07-19T21:59:22Z","politics","Politics","1.6706571206317218"
"2021-07-19T21:49:11Z","world","World news","1.9042374526547452"
"2021-07-19T21:30:09Z","football","Football","1.5821217619833163"
"2021-07-19T21:24:52Z","football","Football","0.0"
"2021-07-19T21:20:56Z","australia-news","Australia news","3.5502663410519295"
"2021-07-19T21:10:08Z","tv-and-radio","Television & radio","1.6265699439071668"
"2021-07-19T21:08:07Z","business","Business","3.207969104617066"
"2021-07-19T21:07:33Z","business","Business","4.000470469739068"
"2021-07-19T21:00:08Z","sport","Sport","0.9797887784615072"
"2021-07-19T21:00:08Z","sport","Sport","2.3120660949551985"
"2021-07-19T20:51:22Z","australia-news","Australia news","3.9001163793722355"
"2021-07-19T20:12:13Z","us-news","US news","3.2871649723168472"
"2021-07-19T20:10:35Z","society","Society","4.311879521739532"
"2021-07-19T20:08:05Z","football","Football","2.105329212495773"
"2021-07-19T20:00:07Z","stage","Stage","3.931363294765542"
"2021-07-19T20:00:07Z","news","News","2.267787483910739"
"2021-07-19T19:31:03Z","world","World news","3.68749658884862"
"2021-07-19T19:12:14Z","world","World news","4.463870668885988"
"2021-07-19T19:03:30Z","world","World news","3.7774991229839587"
"2021-07-19T19:02:49Z","business","Business","2.6481483013165104"
"2021-07-19T19:00:06Z","environment","Environment","2.597224593691545"
"2021-07-19T18:37:55Z","uk-news","UK news","1.7683391950199565"
"2021-07-19T18:17:54Z","world","World news","4.386925590070083"
"2021-07-19T18:03:08Z","politics","Politics","4.6417396731413385"
"2021-07-19T18:01:05Z","world","World news","3.521008960463551"
"2021-07-19T17:52:10Z","politics","Politics","2.6973821964044484"
"2021-07-19T17:50:04Z","commentisfree","Opinion","4.400706997371943"
"2021-07-19T17:45:31Z","world","World news","0.831977616791788"
"2021-07-19T17:33:46Z","commentisfree","Opinion","1.961324378736942"
"2021-07-19T17:33:06Z","news","News","3.222959947649346"
"2021-07-19T17:32:38Z","commentisfree","Opinion","1.4531442653088638"
"2021-07-19T17:30:06Z","business","Business","2.601683831288887"
"2021-07-19T17:30:06Z","commentisfree","Opinion","2.747450624921803"
"2021-07-19T17:30:06Z","food","Food","1.8167745523643744"
"2021-07-19T17:30:06Z","books","Books","2.0540490120337016"
"2021-07-19T17:30:05Z","australia-news","Australia news","2.5429208132920786"
"2021-07-19T17:30:05Z","culture","Culture","2.0149030205422647"
"2021-07-19T17:30:05Z","australia-news","Australia news","4.570357946680355"
"2021-07-19T17:30:05Z","world","World news","2.0427009719032965"
"2021-07-19T17:30:05Z","sport","Sport","1.9526415457940123"
"2021-07-19T17:30:04Z","australia-news","Australia news","1.231739068703661"
"2021-07-19T17:30:04Z","australia-news","Australia news","3.852308985836784"
"2021-07-19T17:30:04Z","australia-news","Australia news","3.5322189491941556"
"2021-07-19T17:30:04Z","environment","Environment","2.1161675679224112"
"2021-07-19T17:24:43Z","fashion","Fashion","0.9223330463301177"
"2021-07-19T17:18:56Z","world","World news","2.9510951051670635"
"2021-07-19T17:12:17Z","commentisfree","Opinion","2.1301178459963324"
"2021-07-19T17:03:55Z","education","Education","0.5351556829405044"
"2021-07-19T17:02:59Z","uk-news","UK news","3.8150031582882185"
"2021-07-19T17:00:03Z","sport","Sport","2.260062798274457"
"2021-07-19T17:00:03Z","sport","Sport","2.163119488538647"
"2021-07-19T16:53:47Z","tv-and-radio","Television & radio","2.2587824703356527"
"2021-07-19T16:53:21Z","sport","Sport","1.682776770730007"
"2021-07-19T16:53:11Z","uk-news","UK news","2.0647852238556546"
"2021-07-19T16:50:45Z","world","World news","1.68335017072087"
"2021-07-19T16:47:32Z","sport","Sport","0.8261566001144568"
"2021-07-19T16:39:47Z","sport","Sport","1.1162518233775651"
"2021-07-19T16:33:22Z","stage","Stage","3.872425750803787"
"2021-07-19T16:30:02Z","business","Business","1.8558400983478416"
"2021-07-19T16:27:10Z","sport","Sport","2.9438076217270184"
"2021-07-19T16:08:56Z","business","Business","0.8793957124792585"
"2021-07-19T16:07:24Z","music","Music","0.0"
"2021-07-19T16:00:03Z","news","News","3.258096538021482"
"2021-07-19T16:00:02Z","sport","Sport","2.5979677954735663"
"2021-07-19T16:00:02Z","news","News","3.1442479733184805"
"2021-07-19T15:52:38Z","world","World news","4.192119992739246"
"2021-07-19T15:47:46Z","world","World news","4.462423889417255"
"2021-07-19T15:47:06Z","us-news","US news","3.5996981412089726"
"2021-07-19T15:42:42Z","education","Education","1.241567282643067"
"2021-07-19T15:40:32Z","society","Society","4.444708951806996"
"2021-07-19T15:35:51Z","world","World news","0.9865947703192759"
"2021-07-19T15:32:21Z","politics","Politics","1.5955048181301763"
"2021-07-19T15:32:01Z","commentisfree","Opinion","4.0290417730849395"
"2021-07-19T15:24:08Z","tv-and-radio","Television & radio","1.5877941752764175"
"2021-07-19T15:14:10Z","uk-news","UK news","2.638129255302705"
"2021-07-19T15:11:56Z","business","Business","1.159451415301"
"2021-07-19T15:09:15Z","sport","Sport","0.8168786574239417"
"2021-07-19T15:03:14Z","sport","Sport","0.7786596937024055"
"2021-07-19T15:01:54Z","football","Football","1.9022138773196149"
"2021-07-19T15:00:06Z","lifeandstyle","Life and style","0.5234009671773922"
"2021-07-19T15:00:01Z","film","Film","0.0"
"2021-07-19T14:25:29Z","us-news","US news","2.4708727272349815"
"2021-07-19T14:21:26Z","world","World news","1.0158092012823599"
"2021-07-19T14:09:26Z","sport","Sport","1.3007393834410321"
"2021-07-19T14:08:18Z","sport","Sport","1.3315921061017877"
"2021-07-19T14:04:30Z","sport","Sport","1.2004261858811727"
"2021-07-19T14:00:00Z","sport","Sport","1.4328247355309975"
"2021-07-19T14:00:00Z","news","News","3.3230043286335493"
"2021-07-19T13:46:39Z","tv-and-radio","Television & radio","1.2849200801298994"
