"2021-11-07T23:35:28Z","sap-smart-business","SAP: Smart business","1.7192161365486271"
"2021-11-07T23:14:51Z","uk-news","UK news","1.7486493455743264"
"2021-11-07T22:58:47Z","sport","Sport","1.648416361221939"
"2021-11-07T22:45:12Z","politics","Politics","2.604704921304348"
"2021-11-07T22:36:31Z","us-news","US news","2.4774468897761692"
"2021-11-07T22:30:13Z","football","Football","0.5649168226890952"
"2021-11-07T22:23:54Z","quest-apartment-hotels-as-local-as-you-like-it","Quest Apartment Hotels: As local as you like it","0.4327031070787976"
"2021-11-07T22:00:13Z","sport","Sport","1.0936371540279959"
"2021-11-07T22:00:13Z","tv-and-radio","Television & radio","2.1957022173847345"
"2021-11-07T21:58:03Z","sport","Sport","0.848569720654043"
"2021-11-07T21:56:54Z","sport","Sport","0.9253862973586403"
"2021-11-07T21:45:00Z","football","Football","0.0"
"2021-11-07T21:07:44Z","sport","Sport","0.7917994629710553"
"2021-11-07T21:00:11Z","news","News","1.9926358202179233"
"2021-11-07T20:25:56Z","football","Football","1.6905261251690205"
"2021-11-07T20:02:27Z","tv-and-radio","Television & radio","1.6069536595372682"
"2021-11-07T20:00:10Z","football","Football","1.7925932890045395"
"2021-11-07T19:55:59Z","australia-news","Australia news","1.4286745245637391"
"2021-11-07T19:34:30Z","football","Football","1.7552145986499816"
"2021-11-07T19:33:13Z","politics","Politics","2.5911926629667694"
"2021-11-07T19:23:03Z","football","Football","1.4540654185170485"
"2021-11-07T19:19:52Z","us-news","US news","2.2152025896316276"
"2021-11-07T19:16:19Z","society","Society","3.785671062401052"
"2021-11-07T19:15:09Z","tv-and-radio","Television & radio","0.8462832756457637"
"2021-11-07T19:14:16Z","world","World news","0.7761181480125701"
"2021-11-07T19:01:57Z","football","Football","1.819608533829858"
"2021-11-07T18:58:00Z","football","Football","1.432651249052619"
"2021-11-07T18:43:41Z","us-news","US news","1.3720282553437066"
"2021-11-07T18:30:08Z","commentisfree","Opinion","1.2492029789755144"
